ID,Категория,Название продукта,Калории (ккал),Белки (г),Жиры (г),Углеводы (г),Гликемический индекс (ГИ)
367,Фрукты и ягоды,Арбуз замороженные,34,0.6,0.1,5.6,75
368,Фрукты и ягоды,Дыня,35,0.6,0.3,7.4,65
369,Фрукты и ягоды,Дыня сушеные,29,0.6,0.3,6.4,65
370,Фрукты и ягоды,Дыня сушеные премиум,29,0.6,0.3,6.4,65
371,Фрукты и ягоды,Дыня вяленые,37,0.6,0.4,6.3,65
372,Фрукты и ягоды,Дыня вяленые премиум,37,0.6,0.4,6.3,65
373,Фрукты и ягоды,Дыня пюре,41,0.6,0.4,6.6,65
374,Фрукты и ягоды,Дыня пюре халяль,41,0.6,0.4,6.6,65
375,Фрукты и ягоды,Дыня замороженные,37,0.6,0.3,8.5,65
376,Фрукты и ягоды,Дыня замороженные домашний(ее),37,0.6,0.3,8.5,65
377,Фрукты и ягоды,Киви,47,1.0,0.6,10.3,50
378,Фрукты и ягоды,Киви диетический(ое),47,1.0,0.6,10.3,50
379,Фрукты и ягоды,Киви сушеные,60,1.0,0.7,10.8,50
380,Фрукты и ягоды,Киви сушеные отборный(ое),60,1.0,0.7,10.8,50
381,Фрукты и ягоды,Киви вяленые,54,1.1,0.6,9.1,50
382,Фрукты и ягоды,Киви пюре,53,0.9,0.6,8.5,50
383,Фрукты и ягоды,Киви замороженные,37,1.0,0.7,9.4,50
384,Фрукты и ягоды,Киви замороженные диетический(ое),37,1.0,0.7,9.4,50
385,Фрукты и ягоды,Ананас,52,0.3,0.1,11.8,65
386,Фрукты и ягоды,Ананас веган,52,0.3,0.1,11.8,65
387,Фрукты и ягоды,Ананас сушеные,47,0.3,0.1,11.6,65
388,Фрукты и ягоды,Ананас сушеные отборный(ое),47,0.3,0.1,11.6,65
389,Фрукты и ягоды,Ананас вяленые,59,0.3,0.1,12.4,65
390,Фрукты и ягоды,Ананас вяленые диетический(ое),59,0.3,0.1,12.4,65
391,Фрукты и ягоды,Ананас пюре,58,0.3,0.1,12.0,65
392,Фрукты и ягоды,Ананас пюре диетический(ое),58,0.3,0.1,12.0,65
393,Фрукты и ягоды,Ананас замороженные,58,0.3,0.1,9.8,65
394,Фрукты и ягоды,Ананас замороженные ГОСТ,58,0.3,0.1,9.8,65
395,Фрукты и ягоды,Манго,67,0.5,0.3,11.5,55
396,Фрукты и ягоды,Манго сушеные,59,0.5,0.4,11.8,55
397,Фрукты и ягоды,Манго вяленые,63,0.5,0.4,12.4,55
398,Фрукты и ягоды,Манго вяленые диетический(ое),63,0.5,0.4,12.4,55
399,Фрукты и ягоды,Манго пюре,85,0.5,0.3,9.6,55
400,Фрукты и ягоды,Манго пюре веган,85,0.5,0.3,9.6,55
401,Фрукты и ягоды,Манго замороженные,54,0.5,0.3,10.4,55
402,Фрукты и ягоды,Манго замороженные эко,54,0.5,0.3,10.4,55
403,"Крупы, злаки и каши",Гречневая крупа ядрица (сухая),313,12.6,3.3,62.1,55
404,"Крупы, злаки и каши",Гречневая крупа ядрица (сухая) фермерский(ое),313,12.6,3.3,62.1,55
405,"Крупы, злаки и каши",Гречневая крупа ядрица (сухая) быстрого приготовления,264,13.8,4.6,64.0,55
406,"Крупы, злаки и каши",Гречневая крупа ядрица (сухая) быстрого приготовления диетический(ое),264,13.8,4.6,64.0,55
407,"Крупы, злаки и каши",Гречневая крупа ядрица (сухая) с отрубями,399,13.9,4.2,56.4,55
408,"Крупы, злаки и каши",Гречневая крупа ядрица (сухая) с отрубями домашний(ее),399,13.9,4.2,56.4,55
409,"Крупы, злаки и каши",Гречневая крупа ядрица (сухая) органические,256,13.2,3.7,65.9,55
410,"Крупы, злаки и каши",Гречневая крупа ядрица (сухая) органические эко,256,13.2,3.7,65.9,55
411,"Крупы, злаки и каши",Гречневая каша на воде,92,3.2,0.8,17.1,40
412,"Крупы, злаки и каши",Гречневая каша на воде ГОСТ,92,3.2,0.8,17.1,40
413,"Крупы, злаки и каши",Гречневая каша на воде быстрого приготовления,115,3.0,1.0,18.0,40
414,"Крупы, злаки и каши",Гречневая каша на воде с отрубями,96,2.9,0.8,16.0,40
415,"Крупы, злаки и каши",Гречневая каша на воде органические,104,3.4,0.8,18.4,40
416,"Крупы, злаки и каши",Гречневая каша на воде органические диетический(ое),104,3.4,0.8,18.4,40
417,"Крупы, злаки и каши",Рис белый длиннозерный (сухой),344,6.7,0.7,78.9,70
418,"Крупы, злаки и каши",Рис белый длиннозерный (сухой) халяль,344,6.7,0.7,78.9,70
419,"Крупы, злаки и каши",Рис белый длиннозерный (сухой) быстрого приготовления,324,7.3,1.0,80.5,70
420,"Крупы, злаки и каши",Рис белый длиннозерный (сухой) быстрого приготовления ГОСТ,324,7.3,1.0,80.5,70
421,"Крупы, злаки и каши",Рис белый длиннозерный (сухой) с отрубями,353,6.5,0.7,93.7,70
422,"Крупы, злаки и каши",Рис белый длиннозерный (сухой) органические,344,6.7,1.0,83.9,70
423,"Крупы, злаки и каши",Рис белый отварной,116,2.2,0.2,24.9,65
424,"Крупы, злаки и каши",Рис белый отварной веган,116,2.2,0.2,24.9,65
425,"Крупы, злаки и каши",Рис белый отварной быстрого приготовления,124,2.2,0.2,23.5,65
426,"Крупы, злаки и каши",Рис белый отварной быстрого приготовления премиум,124,2.2,0.2,23.5,65
427,"Крупы, злаки и каши",Рис белый отварной с отрубями,136,2.3,0.3,21.9,65
428,"Крупы, злаки и каши",Рис белый отварной с отрубями домашний(ее),136,2.3,0.3,21.9,65
429,"Крупы, злаки и каши",Рис белый отварной органические,124,2.4,0.2,26.9,65
430,"Крупы, злаки и каши",Рис белый отварной органические эко,124,2.4,0.2,26.9,65
431,"Крупы, злаки и каши",Рис бурый нешлифованный (сухой),337,7.4,1.8,72.9,50
432,"Крупы, злаки и каши",Рис бурый нешлифованный (сухой) домашний(ее),337,7.4,1.8,72.9,50
433,"Крупы, злаки и каши",Рис бурый нешлифованный (сухой) быстрого приготовления,290,8.1,2.2,65.3,50
434,"Крупы, злаки и каши",Рис бурый нешлифованный (сухой) быстрого приготовления ГОСТ,290,8.1,2.2,65.3,50
435,"Крупы, злаки и каши",Рис бурый нешлифованный (сухой) с отрубями,296,7.5,2.1,61.0,50
436,"Крупы, злаки и каши",Рис бурый нешлифованный (сухой) с отрубями домашний(ее),296,7.5,2.1,61.0,50
437,"Крупы, злаки и каши",Рис бурый нешлифованный (сухой) органические,436,8.0,2.0,61.7,50
438,"Крупы, злаки и каши",Рис бурый нешлифованный (сухой) органические фермерский(ое),436,8.0,2.0,61.7,50
439,"Крупы, злаки и каши",Рис бурый отварной,110,2.6,0.9,22.8,45
440,"Крупы, злаки и каши",Рис бурый отварной диетический(ое),110,2.6,0.9,22.8,45
441,"Крупы, злаки и каши",Рис бурый отварной быстрого приготовления,133,2.6,1.2,22.9,45
442,"Крупы, злаки и каши",Рис бурый отварной быстрого приготовления веган,133,2.6,1.2,22.9,45
443,"Крупы, злаки и каши",Рис бурый отварной с отрубями,103,2.8,1.3,20.5,45
444,"Крупы, злаки и каши",Рис бурый отварной органические,118,2.5,1.3,22.9,45
445,"Крупы, злаки и каши",Овсяные хлопья Геркулес (сухие),352,12.3,6.2,61.8,55
446,"Крупы, злаки и каши",Овсяные хлопья Геркулес (сухие) эко,352,12.3,6.2,61.8,55
447,"Крупы, злаки и каши",Овсяные хлопья Геркулес (сухие) быстрого приготовления,436,13.2,6.2,69.0,55
448,"Крупы, злаки и каши",Овсяные хлопья Геркулес (сухие) быстрого приготовления фермерский(ое),436,13.2,6.2,69.0,55
449,"Крупы, злаки и каши",Овсяные хлопья Геркулес (сухие) с отрубями,354,13.4,7.2,69.7,55
450,"Крупы, злаки и каши",Овсяные хлопья Геркулес (сухие) с отрубями ГОСТ,354,13.4,7.2,69.7,55
451,"Крупы, злаки и каши",Овсяные хлопья Геркулес (сухие) органические,331,11.8,7.5,74.1,55
452,"Крупы, злаки и каши",Овсяные хлопья Геркулес (сухие) органические фермерский(ое),331,11.8,7.5,74.1,55
453,"Крупы, злаки и каши",Овсяная каша на воде,88,3.0,1.7,15.0,45
454,"Крупы, злаки и каши",Овсяная каша на воде премиум,88,3.0,1.7,15.0,45
455,"Крупы, злаки и каши",Овсяная каша на воде быстрого приготовления,91,2.8,2.0,14.1,45
456,"Крупы, злаки и каши",Овсяная каша на воде быстрого приготовления веган,91,2.8,2.0,14.1,45
457,"Крупы, злаки и каши",Овсяная каша на воде с отрубями,94,3.0,1.9,13.9,45
458,"Крупы, злаки и каши",Овсяная каша на воде с отрубями фермерский(ое),94,3.0,1.9,13.9,45
459,"Крупы, злаки и каши",Овсяная каша на воде органические,78,3.1,2.0,13.4,45
460,"Крупы, злаки и каши",Овсяная каша на воде органические домашний(ее),78,3.1,2.0,13.4,45
461,"Крупы, злаки и каши",Перловая крупа (сухая),320,9.3,1.1,73.7,30
462,"Крупы, злаки и каши",Перловая крупа (сухая) премиум,320,9.3,1.1,73.7,30
463,"Крупы, злаки и каши",Перловая крупа (сухая) быстрого приготовления,380,8.5,1.5,79.8,30
464,"Крупы, злаки и каши",Перловая крупа (сухая) быстрого приготовления эко,380,8.5,1.5,79.8,30
465,"Крупы, злаки и каши",Перловая крупа (сухая) с отрубями,385,9.1,1.4,83.2,30
466,"Крупы, злаки и каши",Перловая крупа (сухая) с отрубями веган,385,9.1,1.4,83.2,30
467,"Крупы, злаки и каши",Перловая крупа (сухая) органические,412,9.3,0.9,73.8,30
468,"Крупы, злаки и каши",Перловая крупа (сухая) органические фермерский(ое),412,9.3,0.9,73.8,30
469,"Крупы, злаки и каши",Перловая каша на воде,109,3.1,0.4,23.0,25
470,"Крупы, злаки и каши",Перловая каша на воде премиум,109,3.1,0.4,23.0,25
471,"Крупы, злаки и каши",Перловая каша на воде быстрого приготовления,119,3.3,0.6,22.5,25
472,"Крупы, злаки и каши",Перловая каша на воде быстрого приготовления фермерский(ое),119,3.3,0.6,22.5,25
473,"Крупы, злаки и каши",Перловая каша на воде с отрубями,115,3.1,0.5,22.2,25
474,"Крупы, злаки и каши",Перловая каша на воде с отрубями премиум,115,3.1,0.5,22.2,25
475,"Крупы, злаки и каши",Перловая каша на воде органические,122,2.9,0.5,27.3,25
476,"Крупы, злаки и каши",Перловая каша на воде органические отборный(ое),122,2.9,0.5,27.3,25
477,"Крупы, злаки и каши",Пшено (сухое),348,11.5,3.3,69.3,70
478,"Крупы, злаки и каши",Пшено (сухое) диетический(ое),348,11.5,3.3,69.3,70
479,"Крупы, злаки и каши",Пшено (сухое) быстрого приготовления,337,11.9,4.1,79.1,70
480,"Крупы, злаки и каши",Пшено (сухое) быстрого приготовления веган,337,11.9,4.1,79.1,70
481,"Крупы, злаки и каши",Пшено (сухое) с отрубями,426,12.3,3.5,64.2,70
482,"Крупы, злаки и каши",Пшено (сухое) с отрубями ГОСТ,426,12.3,3.5,64.2,70
483,"Крупы, злаки и каши",Пшено (сухое) органические,403,12.1,4.7,56.4,70
484,"Крупы, злаки и каши",Пшено (сухое) органические ГОСТ,403,12.1,4.7,56.4,70
485,"Крупы, злаки и каши",Пшенная каша на воде,90,3.0,0.7,17.0,50
486,"Крупы, злаки и каши",Пшенная каша на воде отборный(ое),90,3.0,0.7,17.0,50
487,"Крупы, злаки и каши",Пшенная каша на воде быстрого приготовления,75,3.1,1.0,20.4,50
488,"Крупы, злаки и каши",Пшенная каша на воде быстрого приготовления фермерский(ое),75,3.1,1.0,20.4,50
489,"Крупы, злаки и каши",Пшенная каша на воде с отрубями,105,3.0,0.6,17.9,50
490,"Крупы, злаки и каши",Пшенная каша на воде с отрубями отборный(ое),105,3.0,0.6,17.9,50
491,"Крупы, злаки и каши",Пшенная каша на воде органические,111,3.0,0.9,19.7,50
492,"Крупы, злаки и каши",Пшенная каша на воде органические ГОСТ,111,3.0,0.9,19.7,50
493,"Крупы, злаки и каши",Булгур (сухой),342,12.3,1.3,75.9,45
494,"Крупы, злаки и каши",Булгур (сухой) отборный(ое),342,12.3,1.3,75.9,45
495,"Крупы, злаки и каши",Булгур (сухой) быстрого приготовления,281,13.0,1.3,72.1,45
496,"Крупы, злаки и каши",Булгур (сухой) быстрого приготовления отборный(ое),281,13.0,1.3,72.1,45
497,"Крупы, злаки и каши",Булгур (сухой) с отрубями,298,12.4,1.6,84.8,45
498,"Крупы, злаки и каши",Булгур (сухой) с отрубями ГОСТ,298,12.4,1.6,84.8,45
499,"Крупы, злаки и каши",Булгур (сухой) органические,302,11.3,1.8,79.5,45
500,"Крупы, злаки и каши",Булгур (сухой) органические веган,302,11.3,1.8,79.5,45
501,"Крупы, злаки и каши",Кускус (сухой),376,12.8,0.6,77.4,65
502,"Крупы, злаки и каши",Кускус (сухой) премиум,376,12.8,0.6,77.4,65
503,"Крупы, злаки и каши",Кускус (сухой) быстрого приготовления,346,13.9,0.5,76.2,65
504,"Крупы, злаки и каши",Кускус (сухой) быстрого приготовления веган,346,13.9,0.5,76.2,65
505,"Крупы, злаки и каши",Кускус (сухой) с отрубями,348,12.2,0.5,86.8,65
506,"Крупы, злаки и каши",Кускус (сухой) с отрубями премиум,348,12.2,0.5,86.8,65
507,"Крупы, злаки и каши",Кускус (сухой) органические,470,13.3,0.5,75.6,65
508,"Крупы, злаки и каши",Кускус (сухой) органические фермерский(ое),470,13.3,0.5,75.6,65
509,"Крупы, злаки и каши",Киноа (сухая),368,14.1,6.1,57.2,40
510,"Крупы, злаки и каши",Киноа (сухая) отборный(ое),368,14.1,6.1,57.2,40
511,"Крупы, злаки и каши",Киноа (сухая) быстрого приготовления,357,14.3,7.6,55.5,40
512,"Крупы, злаки и каши",Киноа (сухая) быстрого приготовления отборный(ое),357,14.3,7.6,55.5,40
513,"Крупы, злаки и каши",Киноа (сухая) с отрубями,340,15.1,5.7,54.6,40
514,"Крупы, злаки и каши",Киноа (сухая) с отрубями халяль,340,15.1,5.7,54.6,40
515,"Крупы, злаки и каши",Киноа (сухая) органические,383,13.4,7.3,58.9,40
516,"Крупы, злаки и каши",Киноа (сухая) органические диетический(ое),383,13.4,7.3,58.9,40
517,"Крупы, злаки и каши",Манная крупа (сухая),333,10.3,1.0,70.6,75
518,"Крупы, злаки и каши",Манная крупа (сухая) фермерский(ое),333,10.3,1.0,70.6,75
519,"Крупы, злаки и каши",Манная крупа (сухая) быстрого приготовления,431,9.9,1.5,75.1,75
520,"Крупы, злаки и каши",Манная крупа (сухая) быстрого приготовления домашний(ее),431,9.9,1.5,75.1,75
521,"Крупы, злаки и каши",Манная крупа (сухая) с отрубями,312,10.4,1.3,77.5,75
522,"Крупы, злаки и каши",Манная крупа (сухая) с отрубями домашний(ее),312,10.4,1.3,77.5,75
523,"Крупы, злаки и каши",Манная крупа (сухая) органические,274,10.5,1.1,82.0,75
524,"Крупы, злаки и каши",Манная крупа (сухая) органические премиум,274,10.5,1.1,82.0,75
525,"Крупы, злаки и каши",Макароны из твердых сортов (сухие),344,10.4,1.1,71.5,50
526,"Крупы, злаки и каши",Макароны из твердых сортов (сухие) эко,344,10.4,1.1,71.5,50
527,"Крупы, злаки и каши",Макароны из твердых сортов (сухие) быстрого приготовления,324,11.0,1.3,67.3,50
528,"Крупы, злаки и каши",Макароны из твердых сортов (сухие) быстрого приготовления отборный(ое),324,11.0,1.3,67.3,50
529,"Крупы, злаки и каши",Макароны из твердых сортов (сухие) с отрубями,384,10.7,1.4,77.8,50
530,"Крупы, злаки и каши",Макароны из твердых сортов (сухие) органические,388,11.1,1.4,83.0,50
531,"Крупы, злаки и каши",Макароны отварные аль dente,140,5.0,0.5,28.0,40
532,"Крупы, злаки и каши",Макароны отварные аль dente отборный(ое),140,5.0,0.5,28.0,40
533,"Крупы, злаки и каши",Макароны отварные аль dente быстрого приготовления,157,4.8,0.6,28.9,40
534,"Крупы, злаки и каши",Макароны отварные аль dente быстрого приготовления халяль,157,4.8,0.6,28.9,40
535,"Крупы, злаки и каши",Макароны отварные аль dente с отрубями,163,4.6,0.5,30.8,40
536,"Крупы, злаки и каши",Макароны отварные аль dente с отрубями премиум,163,4.6,0.5,30.8,40
537,"Крупы, злаки и каши",Макароны отварные аль dente органические,124,4.6,0.6,33.3,40
538,"Крупы, злаки и каши",Макароны отварные аль dente органические веган,124,4.6,0.6,33.3,40
539,Мясо и птица,Филе куриной грудки сырое,113,23.6,1.9,0.4,0
540,Мясо и птица,Филе куриной грудки сырое отборный(ое),113,23.6,1.9,0.4,0
541,Мясо и птица,Филе куриной грудки сырое запеченное(ая),120,25.6,2.6,0.4,0
542,Мясо и птица,Филе куриной грудки сырое запеченное(ая) веган,120,25.6,2.6,0.4,0
543,Мясо и птица,Филе куриной грудки сырое на гриле,136,23.5,2.6,0.4,0
544,Мясо и птица,Филе куриной грудки сырое на гриле ГОСТ,136,23.5,2.6,0.4,0
545,Мясо и птица,Филе куриной грудки сырое су-вид,109,21.8,2.8,0.3,0
546,Мясо и птица,Филе куриной грудки сырое су-вид ГОСТ,109,21.8,2.8,0.3,0
547,Мясо и птица,Филе куриной грудки сырое копченое(ая),145,25.3,2.5,0.5,0
548,Мясо и птица,Филе куриной грудки сырое копченое(ая) фермерский(ое),145,25.3,2.5,0.5,0
549,Мясо и птица,Филе куриной грудки отварное,137,29.8,1.8,0.0,0
550,Мясо и птица,Филе куриной грудки отварное отборный(ое),137,29.8,1.8,0.0,0
551,Мясо и птица,Филе куриной грудки отварное запеченное(ая),175,31.6,1.9,0.0,0
552,Мясо и птица,Филе куриной грудки отварное запеченное(ая) фермерский(ое),175,31.6,1.9,0.0,0
553,Мясо и птица,Филе куриной грудки отварное на гриле,110,30.0,2.0,0.0,0
554,Мясо и птица,Филе куриной грудки отварное на гриле отборный(ое),110,30.0,2.0,0.0,0
555,Мясо и птица,Филе куриной грудки отварное су-вид,155,30.3,2.5,0.0,0
556,Мясо и птица,Филе куриной грудки отварное су-вид эко,155,30.3,2.5,0.0,0
557,Мясо и птица,Филе куриной грудки отварное копченое(ая),117,28.2,1.5,0.0,0
558,Мясо и птица,Филе куриной грудки отварное копченое(ая) халяль,117,28.2,1.5,0.0,0
559,Мясо и птица,Куриное бедро без кожи,160,16.8,10.2,0.0,0
560,Мясо и птица,Куриное бедро без кожи диетический(ое),160,16.8,10.2,0.0,0
561,Мясо и птица,Куриное бедро без кожи запеченное(ая),172,18.2,9.7,0.0,0
562,Мясо и птица,Куриное бедро без кожи запеченное(ая) диетический(ое),172,18.2,9.7,0.0,0
563,Мясо и птица,Куриное бедро без кожи на гриле,193,18.2,10.3,0.0,0
564,Мясо и птица,Куриное бедро без кожи на гриле ГОСТ,193,18.2,10.3,0.0,0
565,Мясо и птица,Куриное бедро без кожи су-вид,139,18.3,10.3,0.0,0
566,Мясо и птица,Куриное бедро без кожи су-вид ГОСТ,139,18.3,10.3,0.0,0
567,Мясо и птица,Куриное бедро без кожи копченое(ая),135,18.1,9.1,0.0,0
568,Мясо и птица,Филе индейки сырое,114,24.1,1.7,0.0,0
569,Мясо и птица,Филе индейки сырое запеченное(ая),129,25.3,2.5,0.0,0
570,Мясо и птица,Филе индейки сырое запеченное(ая) фермерский(ое),129,25.3,2.5,0.0,0
571,Мясо и птица,Филе индейки сырое на гриле,133,22.4,1.9,0.0,0
572,Мясо и птица,Филе индейки сырое на гриле ГОСТ,133,22.4,1.9,0.0,0
573,Мясо и птица,Филе индейки сырое су-вид,119,23.7,2.5,0.0,0
574,Мясо и птица,Филе индейки сырое су-вид ГОСТ,119,23.7,2.5,0.0,0
575,Мясо и птица,Филе индейки сырое копченое(ая),112,23.8,2.5,0.0,0
576,Мясо и птица,Говядина вырезка постная сырая,158,22.2,7.1,0.0,0
577,Мясо и птица,Говядина вырезка постная сырая запеченное(ая),134,23.0,8.4,0.0,0
578,Мясо и птица,Говядина вырезка постная сырая запеченное(ая) халяль,134,23.0,8.4,0.0,0
579,Мясо и птица,Говядина вырезка постная сырая на гриле,154,21.7,6.6,0.0,0
580,Мясо и птица,Говядина вырезка постная сырая на гриле домашний(ее),154,21.7,6.6,0.0,0
581,Мясо и птица,Говядина вырезка постная сырая су-вид,193,22.0,9.0,0.0,0
582,Мясо и птица,Говядина вырезка постная сырая су-вид премиум,193,22.0,9.0,0.0,0
583,Мясо и птица,Говядина вырезка постная сырая копченое(ая),173,20.1,9.6,0.0,0
584,Мясо и птица,Говядина вырезка постная сырая копченое(ая) веган,173,20.1,9.6,0.0,0
585,Мясо и птица,Говядина отварная,254,25.8,16.8,0.0,0
586,Мясо и птица,Говядина отварная халяль,254,25.8,16.8,0.0,0
587,Мясо и птица,Говядина отварная запеченное(ая),219,26.1,14.2,0.0,0
588,Мясо и птица,Говядина отварная запеченное(ая) эко,219,26.1,14.2,0.0,0
589,Мясо и птица,Говядина отварная на гриле,229,24.3,23.7,0.0,0
590,Мясо и птица,Говядина отварная су-вид,221,27.9,13.5,0.0,0
591,Мясо и птица,Говядина отварная копченое(ая),221,23.9,16.4,0.0,0
592,Мясо и птица,Говядина отварная копченое(ая) фермерский(ое),221,23.9,16.4,0.0,0
593,Мясо и птица,Свинина вырезка постная сырая,143,20.0,7.1,0.0,0
594,Мясо и птица,Свинина вырезка постная сырая эко,143,20.0,7.1,0.0,0
595,Мясо и птица,Свинина вырезка постная сырая запеченное(ая),161,18.1,5.8,0.0,0
596,Мясо и птица,Свинина вырезка постная сырая запеченное(ая) домашний(ее),161,18.1,5.8,0.0,0
597,Мясо и птица,Свинина вырезка постная сырая на гриле,131,19.3,6.5,0.0,0
598,Мясо и птица,Свинина вырезка постная сырая на гриле веган,131,19.3,6.5,0.0,0
599,Мясо и птица,Свинина вырезка постная сырая су-вид,167,20.1,9.4,0.0,0
600,Мясо и птица,Свинина вырезка постная сырая су-вид веган,167,20.1,9.4,0.0,0
601,Мясо и птица,Свинина вырезка постная сырая копченое(ая),170,20.1,6.2,0.0,0
602,Мясо и птица,Свинина вырезка постная сырая копченое(ая) ГОСТ,170,20.1,6.2,0.0,0
603,Мясо и птица,Свиной отбивной стейк,245,23.0,17.0,0.0,0
604,Мясо и птица,Свиной отбивной стейк отборный(ое),245,23.0,17.0,0.0,0
605,Мясо и птица,Свиной отбивной стейк запеченное(ая),311,20.9,22.9,0.0,0
606,Мясо и птица,Свиной отбивной стейк запеченное(ая) премиум,311,20.9,22.9,0.0,0
607,Мясо и птица,Свиной отбивной стейк на гриле,259,22.8,25.1,0.0,0
608,Мясо и птица,Свиной отбивной стейк на гриле отборный(ое),259,22.8,25.1,0.0,0
609,Мясо и птица,Свиной отбивной стейк су-вид,254,22.5,21.8,0.0,0
610,Мясо и птица,Свиной отбивной стейк копченое(ая),307,21.0,14.6,0.0,0
611,Мясо и птица,Фарш говяжий легкий,215,18.5,15.4,0.0,0
612,Мясо и птица,Фарш говяжий легкий халяль,215,18.5,15.4,0.0,0
613,Мясо и птица,Фарш говяжий легкий запеченное(ая),179,17.7,19.1,0.0,0
614,Мясо и птица,Фарш говяжий легкий запеченное(ая) диетический(ое),179,17.7,19.1,0.0,0
615,Мясо и птица,Фарш говяжий легкий на гриле,206,20.3,18.0,0.0,0
616,Мясо и птица,Фарш говяжий легкий на гриле ГОСТ,206,20.3,18.0,0.0,0
617,Мясо и птица,Фарш говяжий легкий су-вид,237,17.0,19.9,0.0,0
618,Мясо и птица,Фарш говяжий легкий су-вид фермерский(ое),237,17.0,19.9,0.0,0
619,Мясо и птица,Фарш говяжий легкий копченое(ая),241,19.5,20.1,0.0,0
620,Мясо и птица,Фарш домашний (свинина/говядина),290,15.4,25.2,0.0,0
621,Мясо и птица,Фарш домашний (свинина/говядина) запеченное(ая),297,14.6,26.1,0.0,0
622,Мясо и птица,Фарш домашний (свинина/говядина) запеченное(ая) эко,297,14.6,26.1,0.0,0
623,Мясо и птица,Фарш домашний (свинина/говядина) на гриле,292,14.2,27.7,0.0,0
624,Мясо и птица,Фарш домашний (свинина/говядина) на гриле домашний(ее),292,14.2,27.7,0.0,0
625,Мясо и птица,Фарш домашний (свинина/говядина) су-вид,286,14.3,36.4,0.0,0
626,Мясо и птица,Фарш домашний (свинина/говядина) су-вид эко,286,14.3,36.4,0.0,0
627,Мясо и птица,Фарш домашний (свинина/говядина) копченое(ая),352,14.1,21.9,0.0,0
628,Мясо и птица,Баранина постная сырая,200,17.2,14.5,0.0,0
629,Мясо и птица,Баранина постная сырая запеченное(ая),241,17.4,17.6,0.0,0
630,Мясо и птица,Баранина постная сырая запеченное(ая) домашний(ее),241,17.4,17.6,0.0,0
631,Мясо и птица,Баранина постная сырая на гриле,192,15.9,15.2,0.0,0
632,Мясо и птица,Баранина постная сырая на гриле веган,192,15.9,15.2,0.0,0
633,Мясо и птица,Баранина постная сырая су-вид,235,18.5,18.9,0.0,0
634,Мясо и птица,Баранина постная сырая су-вид эко,235,18.5,18.9,0.0,0
635,Мясо и птица,Баранина постная сырая копченое(ая),220,16.7,17.5,0.0,0
636,Мясо и птица,Баранина постная сырая копченое(ая) отборный(ое),220,16.7,17.5,0.0,0
637,Мясо и птица,Кролик мясо сырое,156,21.0,8.0,0.0,0
638,Мясо и птица,Кролик мясо сырое запеченное(ая),176,19.8,7.0,0.0,0
639,Мясо и птица,Кролик мясо сырое на гриле,153,22.1,9.6,0.0,0
640,Мясо и птица,Кролик мясо сырое су-вид,190,23.0,11.0,0.0,0
641,Мясо и птица,Кролик мясо сырое копченое(ая),174,19.0,11.6,0.0,0
642,Мясо и птица,Кролик мясо сырое копченое(ая) отборный(ое),174,19.0,11.6,0.0,0
643,Рыба и морепродукты,Лосось (семга) филе сырое,208,20.0,13.0,0.0,0
644,Рыба и морепродукты,Лосось (семга) филе сырое диетический(ое),208,20.0,13.0,0.0,0
645,Рыба и морепродукты,Лосось (семга) филе сырое запеченный(ая),194,18.7,16.8,0.0,0
646,Рыба и морепродукты,Лосось (семга) филе сырое запеченный(ая) диетический(ое),194,18.7,16.8,0.0,0
647,Рыба и морепродукты,Лосось (семга) филе сырое горячего копчения,201,18.0,18.3,0.0,0
648,Рыба и морепродукты,Лосось (семга) филе сырое горячего копчения халяль,201,18.0,18.3,0.0,0
649,Рыба и морепродукты,Лосось (семга) филе сырое холодного копчения,208,18.6,16.2,0.0,0
650,Рыба и морепродукты,Лосось (семга) филе сырое холодного копчения премиум,208,18.6,16.2,0.0,0
651,Рыба и морепродукты,Лосось (семга) филе сырое слабосоленый(ая),243,18.9,14.2,0.0,0
652,Рыба и морепродукты,Лосось запеченный,230,22.5,14.2,0.0,0
653,Рыба и морепродукты,Лосось запеченный запеченный(ая),226,23.5,19.1,0.0,0
654,Рыба и морепродукты,Лосось запеченный горячего копчения,193,20.5,12.9,0.0,0
655,Рыба и морепродукты,Лосось запеченный холодного копчения,261,21.5,17.9,0.0,0
656,Рыба и морепродукты,Лосось запеченный слабосоленый(ая),234,21.5,18.9,0.0,0
657,Рыба и морепродукты,Треска филе,82,17.8,0.7,0.0,0
658,Рыба и морепродукты,Треска филе запеченный(ая),83,17.0,0.9,0.0,0
659,Рыба и морепродукты,Треска филе горячего копчения,92,16.2,0.8,0.0,0
660,Рыба и морепродукты,Треска филе холодного копчения,65,17.1,0.7,0.0,0
661,Рыба и морепродукты,Треска филе слабосоленый(ая),76,17.2,0.6,0.0,0
662,Рыба и морепродукты,Горбуша сырая,142,20.5,6.5,0.0,0
663,Рыба и морепродукты,Горбуша сырая запеченный(ая),126,20.0,8.4,0.0,0
664,Рыба и морепродукты,Горбуша сырая горячего копчения,172,21.8,5.5,0.0,0
665,Рыба и морепродукты,Горбуша сырая холодного копчения,116,18.5,9.4,0.0,0
666,Рыба и морепродукты,Горбуша сырая слабосоленый(ая),154,20.8,8.4,0.0,0
667,Рыба и морепродукты,Судак филе,84,18.4,1.1,0.0,0
